deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category
,,,,,Android Stretch Fit Hat Charcoal,
,,,,,Google 3/4 Sleeve Raglan Henley Grey,
,,,,,Chevron Shopper,
,,,,,Android BTTF Moonshot Shirt,
,,,,,Google 3/4 Sleeve Tri-Blend Raglan Henley,
,,,,,YouTube Unisex Flex Fleece Zip Hoodie,
,,,,,Android 25 oz Green Apple l Bottle,
,,,,,Anvil L/S Crew Neck - Grey,
,,,,,Rubber Grip Ballpoint Pen 4 Pack,
,,,,,Google Device Holder Sticky Pad,
,,,,,Android Twill Cap,
,,,,,Android Rise 14 oz Mug,
,,,,,Google Toddler Raglan Shirt Blue Heather/Navy,
,,,,,Google Women's Short Sleeve Hero V-Neck Tee Black,
,,,,,Android Men's Vintage Henley,
,,,,,Google Women's Short Sleeve Badge Tee Navy,
,,,,,Google Vintage Henley Grey/Black,
,,,,,Google Stretch Fit Hat M/L Navy,
,,,,,Porcelain Mosaic Mug,
,,,,,Men's Google Microtherm Pullover,
,,,,,Men's Lotus H2X Dry S/S Performance Tee,
,,,,,YouTube Men's S/S Tri-blend Crew,
,,,,,Sport Bottle w/ Metallic Ring 28 oz,
,,,,,"15"" Android Squishable - Online",
,,,,,Go Gopher Blue Squishable,
,,,,,Eco-Jersey Chrome Zip Up Hoodie,
,,,,,Google Women's Zip Hoodie Grey,
,,,,,Google Men's 100% Cotton Short Sleeve Hero Tee Black,
,,,,,SPF-15 Slim & Slender Lip Balm,
,,,,,Google Kick Ball,
,,,,,Straw Beach Mat,
,,,,,Google Toddler Short Sleeve T-shirt Yellow,
,,,,,Google Laptop Tech Backpack,
,,,,,Google Men's Short Sleeve Hero Tee Charcoal,
,,,,,Google Men's Quilted Insulated Vest Battleship Grey,
,,,,,Color Changing Grip Pen,
,,,,,Android Lifted Men's Short Sleeve Tee Blue,
,,,,,Android Men's Paradise Short Sleeve Tee Olive,
,,,,,Google Sports Bag,
,,,,,YouTube Stretch Fit Hat,
,,,,,Android Baby Esssentials Set,
,,,,,Veranda 2 Glass Bottle,
,,,,,YouTube Luggage Tag,
,,,,,YouTube Trucker Hat,
,,,,,Fashion Sunglasses & Pouch,
,,,,,Google Bluetooth Headphones,
,,,,,"Google High Capacity 10,400mAh Charger"
,,,,,Badge Holder,
,,,,,Android Men's Short Sleeve Hero Tee Heather,
,,,,,Google Infant Zip Hood Royal Blue,
,,,,,Google Men's Short Sleeve Hero Tee Light Blue,
,,,,,Google Leather Journal-Brown,
,,,,,Google Leather Journal-Black,
,,,,,YouTube Men's Vintage Henley,
,,,,,Google Women's Vintage Hero Tee Black,
,,,,,Android Spiral Journal with Pen,
,,,,,Google Men's Vintage Tank,
,,,,,Google Men's 3/4 Sleeve Raglan Henley Grey,
,,,,,Google Women's Performance Polo Grey/Black,
,,,,,Google Sunglasses Yellow,
,,,,,Google Toddler Tee Fruit Games Strawberry,
,,,,,Micro Wireless Earbuds,
,,,,,24oz Tritan Salute w/ Flip Straw Lid,
,,,,,Google Men's Long Sleeve Pullover Crew Tee Heather,
,,,,,Google Canvas Tote Natural/Navy,
,,,,,Four Color Retractable Pen,
,,,,,Aluminum Handy Emergency Flashlight,
,,,,,Seat Pack Organizer,
,,,,,Micro Wireless Earbud,
,,,,,Google Onesie Green,
,,,,,Google Toddler Short Sleeve Tee White,
,,,,,Google Men's Convertible Vest-Jacket Pewter,
,,,,,Google Women's Short Sleeve Hero Tee Red Heather,
,,,,,Android Women's Fleece Hoodie,
,,,,,Waze Mood Ninja Window Decal,
,,,,,Ballpoint Pen Blue,
,,,,,Google Women's Short Sleeve Performance Tee Charcoal,
,,,,,Android Women's Short Sleeve Badge Tee Light Charcoal,
,,,,,Google Infant Short Sleeve Tee Royal Blue,
,,,,,Google Men's Long & Lean Tee Grey,
,,,,,Google Four Color EDC Flashlight,
,,,,,22 oz YouTube Bottle Infuser,
,,,,,Google Ballpoint Pen Black,
,,,,,Keyboard DOT Sticker,
,,,,,Google Pocket Bluetooth Speaker,
,,,,,Clip-on Compact Charger,
,,,,,Google Onesie Red/Graphite,
,,,,,Google Leather Journal,
,,,,,Google Men's Short Sleeve Performance Badge Tee Black,
,,,,,YouTube Women's Racer Back Tank Black,
,,,,,Digital Lightshow Smart Speaker and Notification Center,
,,,,,Android Men's Engineer Short Sleeve Tee Charcoal,
,,,,,BLM Sweatshirt (Pre-Order),
,,,,,YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,
,,,,,Google Stretch Fit Hat S/M Navy,
,,,,,Android Men's Zip Hoodie,
,,,,,Google Red Spiral Notebook,
,,,,,Google Leather Journal (Black),
,,,,,Google Sunglasses Blue,
,,,,,Google Women's Tee Purple,
,,,,,PowerClip Lightning Charger,
,,,,,24oz YouTube Sergeant Stripe Bottle,
,,,,,Malibu Sunglasses,
,,,,,Google Alpine Style Backpack,
,,,,,Google Wool Heather Cap Heather/Navy,
,,,,,Collapsible Shopping Bag,
,,,,,Bottle Opener Clip,
,,,,,1 oz Hand Sanitizer,
,,,,,Engraved Ceramic Google Mug,
,,,,,Google Men's Vintage Badge Tee Black,
